user_id	timestamp	action_type	poi_id	geographic_id	administrative_region_id	weather	travel_mode	via_poi_id
0	304487000	1	405081	22816044	759	2		
0	304495749	2	405081	22816044	759	2	4	
0	304496749	3	405081	22816044	759	2	4	
0	507875063	3	3366495	10025735	759	6	4	
0	507879694	2	3366495	10025735	759	6	4	
0	577337754	2	3366495	6286574	759	2	4	
0	577338754	3	3366495	6286574	759	2	4	
0	735681048	2	2679324	12139371	759	14	4	
0	735682048	3	2679324	12139371	759	14	4	
0	750135000	1	3366495	32807373	759	2		
0	750139937	2	3366495	32807373	759	2	4	
0	750165582	2	3366495	2801919	759	2	4	
0	750165884	2	3366495	2801919	759	2	4	
0	750203779	2	3366495	33263222	759	2	4	
0	4559830168	3	2075049	25433989	759	9	4	
1	305642648	3	7022738	41204571	1554	2	0	
1	305802362	2	7022738	17529650	1554	2	0	
1	305823082	2	4535488	17529650	1554	2	0	
1	305824082	3	4535488	17529650	1554	2	0	
1	459921401	2	4535488	35820221	1554	14	0	
1	465396000	1	1512325	15583308	1554	2		
1	1154543821	2	4535488	42699967	1554	9	0	
1	1154544821	3	4535488	42699967	1554	9	0	
1	1181567615	2	1512325	47727668	1554	2	0	
1	1277423000	1	1512325	15280445	1554	9		
1	2795328093	2	2164580	30526019	3111	14	0	
1	2795329093	3	2164580	30526019	3111	14	0	
1	2971347622	2	6507939	41204571	1554	19	0	
1	3059692241	3	6507939	37851298	3111	14	0	
1	3061686784	2	952281	7021523	3111	14	0	
1	3061693000	2	952281	7021523	3111	14	2	
1	3062462582	2	1877858	7021523	3111	14	0	
1	3580976932	2	1239109	41204571	1554	2	0	
1	3600008491	2	1512325	45184848	1554	9	0	
1	3749867717	3	7022738	41204571	1554	14	0	
1	3750241000	1	4535488	35820221	1554	14		
1	3750257637	2	4535488	35820221	1554	14	0	
1	4811345099	2	5154790	15583308	1554	2	0	
1	4811346099	3	5154790	15583308	1554	2	0	
1	4812391856	2	1512325	2924169	1554	14	0	
2	71071000	1	1072211	27161001	1571	2		
2	71075813	2	1072211	27161001	1571	2	4	
2	466125018	2	7053657	33321021	898	9	4	
2	466126018	3	7053657	33321021	898	9	4	
2	564405885	2	6507930	34351228	898	9	4	
2	564878000	1	6729135	49027645	898	9		
2	564890115	2	6729135	49027645	898	9	4	
2	564891115	3	6729135	49027645	898	9	4	
2	1450799000	1	50863	18492102	898	14		
2	1504369677	2	3673230	29379580	898	14	4	
2	3504278707	2	1115292	16011884	898	14	4	
2	5247548076	2	918750	42179966	898	20	4	
3	421490636	2	4952478	29380269	835	2	4	
3	422615696	2	4000953	45848886	835	2	4	
3	766118931	2	2824505	28091731	2974	14	4	
3	1145194873	2	414426	44626381	2774	14	4	
3	1146951204	3	7157362	14654856	1709	14	4	
3	1147844915	3	3188444	7514324	1709	14	4	
3	1149760698	2	1156146	45604868	835	14	4	
3	1160151052	2	4575589	39590145	2974	9	4	
3	1166992780	2	6521483	27235868	1121	9	4	
3	1234472973	2	268832	51024751	3123	6	4	
3	1235456358	2	268832	24161112	203	19	4	
3	1235456565	2	268832	24161112	203	19	4	
3	1241800260	2	895572	31836276	3111	6	4	
3	1242616000	1	6840239	31836276	3111	6		
3	1252143146	3	6547132	44852992	2974	14	4	
3	1253681467	3	1776284	31888519	2974	14	4	
3	1581189893	2	5921467	16800515	2974	9	4	
3	1849933455	2	6557523	23511913	835	9	4	
3	1853687000	1	4143404	51418676	3111	9		
3	1853696252	2	4143404	51418676	3111	9	4	
3	2135072639	3	4926092	7937665	2974	14	4	
3	2139357000	1	141462	2439160	1709	14		
3	2139362969	2	141462	2439160	1709	14	4	
3	2442867553	2	2970348	14276880	3123	14	4	
3	2446406200	2	2147174	30463277	2974	6	4	
3	2447552469	3	6940131	26434969	2974	6	4	
3	2448857654	2	1900415	15361911	2974	19	4	
3	2644163798	3	5611244	27876333	540	2	4	
3	2648501000	1	1149247	414419	1709	14		
